dataset,outer_id,fraction,class_id,source_unit_count,realized_units,realized_fraction,independent_group_count,onset_bearing_units
TEP,32001,0.1,10,1,25,0.10080645161290322,25,20
TEP,32001,0.1,11,1,25,0.10080645161290322,25,20
TEP,32001,0.1,12,1,25,0.10080645161290322,25,20
TEP,32001,0.1,13,1,25,0.10080645161290322,25,20
TEP,32001,0.1,14,1,25,0.10080645161290322,25,20
TEP,32001,0.1,15,1,25,0.10080645161290322,25,20
TEP,32001,0.1,16,1,25,0.10080645161290322,25,20
TEP,32001,0.1,17,1,25,0.10080645161290322,25,20
TEP,32001,0.1,18,1,25,0.10080645161290322,25,20
TEP,32001,0.1,19,1,25,0.10080645161290322,25,20
TEP,32001,0.1,20,1,25,0.10080645161290322,25,20
TEP,32002,1.0,0,128,248,1.0,248,120
TEP,32002,1.0,1,6,248,1.0,248,120
TEP,32002,1.0,2,6,248,1.0,248,120
TEP,32002,1.0,3,6,248,1.0,248,120
TEP,32002,1.0,4,6,248,1.0,248,120
TEP,32002,1.0,5,6,248,1.0,248,120
TEP,32002,1.0,6,6,248,1.0,248,120
TEP,32002,1.0,7,6,248,1.0,248,120
TEP,32002,1.0,8,6,248,1.0,248,120
TEP,32002,1.0,9,6,248,1.0,248,120
TEP,32002,1.0,10,6,248,1.0,248,120
TEP,32002,1.0,11,6,248,1.0,248,120
TEP,32002,1.0,12,6,248,1.0,248,120
TEP,32002,1.0,13,6,248,1.0,248,120
TEP,32002,1.0,14,6,248,1.0,248,120
TEP,32002,1.0,15,6,248,1.0,248,120
TEP,32002,1.0,16,6,248,1.0,248,120
TEP,32002,1.0,17,6,248,1.0,248,120
TEP,32002,1.0,18,6,248,1.0,248,120
TEP,32002,1.0,19,6,248,1.0,248,120
TEP,32002,1.0,20,6,248,1.0,248,120
TEP,32002,0.25,0,22,62,0.25,62,40
TEP,32002,0.25,1,2,62,0.25,62,40
TEP,32002,0.25,2,2,62,0.25,62,40
TEP,32002,0.25,3,2,62,0.25,62,40
TEP,32002,0.25,4,2,62,0.25,62,40
TEP,32002,0.25,5,2,62,0.25,62,40
TEP,32002,0.25,6,2,62,0.25,62,40
TEP,32002,0.25,7,2,62,0.25,62,40
TEP,32002,0.25,8,2,62,0.25,62,40
TEP,32002,0.25,9,2,62,0.25,62,40
TEP,32002,0.25,10,2,62,0.25,62,40
TEP,32002,0.25,11,2,62,0.25,62,40
TEP,32002,0.25,12,2,62,0.25,62,40
TEP,32002,0.25,13,2,62,0.25,62,40
TEP,32002,0.25,14,2,62,0.25,62,40
TEP,32002,0.25,15,2,62,0.25,62,40
TEP,32002,0.25,16,2,62,0.25,62,40
TEP,32002,0.25,17,2,62,0.25,62,40
TEP,32002,0.25,18,2,62,0.25,62,40
TEP,32002,0.25,19,2,62,0.25,62,40
TEP,32002,0.25,20,2,62,0.25,62,40
TEP,32002,0.1,0,5,25,0.10080645161290322,25,20
TEP,32002,0.1,1,1,25,0.10080645161290322,25,20
TEP,32002,0.1,2,1,25,0.10080645161290322,25,20
TEP,32002,0.1,3,1,25,0.10080645161290322,25,20
TEP,32002,0.1,4,1,25,0.10080645161290322,25,20
TEP,32002,0.1,5,1,25,0.10080645161290322,25,20
TEP,32002,0.1,6,1,25,0.10080645161290322,25,20
TEP,32002,0.1,7,1,25,0.10080645161290322,25,20
TEP,32002,0.1,8,1,25,0.10080645161290322,25,20
TEP,32002,0.1,9,1,25,0.10080645161290322,25,20
TEP,32002,0.1,10,1,25,0.10080645161290322,25,20
TEP,32002,0.1,11,1,25,0.10080645161290322,25,20
TEP,32002,0.1,12,1,25,0.10080645161290322,25,20
TEP,32002,0.1,13,1,25,0.10080645161290322,25,20
TEP,32002,0.1,14,1,25,0.10080645161290322,25,20
TEP,32002,0.1,15,1,25,0.10080645161290322,25,20
TEP,32002,0.1,16,1,25,0.10080645161290322,25,20
TEP,32002,0.1,17,1,25,0.10080645161290322,25,20
TEP,32002,0.1,18,1,25,0.10080645161290322,25,20
TEP,32002,0.1,19,1,25,0.10080645161290322,25,20
TEP,32002,0.1,20,1,25,0.10080645161290322,25,20
TEP,32003,1.0,0,128,248,1.0,248,120
TEP,32003,1.0,1,6,248,1.0,248,120
TEP,32003,1.0,2,6,248,1.0,248,120
TEP,32003,1.0,3,6,248,1.0,248,120
TEP,32003,1.0,4,6,248,1.0,248,120
TEP,32003,1.0,5,6,248,1.0,248,120
TEP,32003,1.0,6,6,248,1.0,248,120
TEP,32003,1.0,7,6,248,1.0,248,120
TEP,32003,1.0,8,6,248,1.0,248,120
TEP,32003,1.0,9,6,248,1.0,248,120
TEP,32003,1.0,10,6,248,1.0,248,120
TEP,32003,1.0,11,6,248,1.0,248,120
TEP,32003,1.0,12,6,248,1.0,248,120
TEP,32003,1.0,13,6,248,1.0,248,120
TEP,32003,1.0,14,6,248,1.0,248,120
TEP,32003,1.0,15,6,248,1.0,248,120
TEP,32003,1.0,16,6,248,1.0,248,120
TEP,32003,1.0,17,6,248,1.0,248,120
TEP,32003,1.0,18,6,248,1.0,248,120
TEP,32003,1.0,19,6,248,1.0,248,120
TEP,32003,1.0,20,6,248,1.0,248,120
TEP,32003,0.25,0,22,62,0.25,62,40
TEP,32003,0.25,1,2,62,0.25,62,40
TEP,32003,0.25,2,2,62,0.25,62,40
TEP,32003,0.25,3,2,62,0.25,62,40
TEP,32003,0.25,4,2,62,0.25,62,40
TEP,32003,0.25,5,2,62,0.25,62,40
TEP,32003,0.25,6,2,62,0.25,62,40
TEP,32003,0.25,7,2,62,0.25,62,40
TEP,32003,0.25,8,2,62,0.25,62,40
TEP,32003,0.25,9,2,62,0.25,62,40
TEP,32003,0.25,10,2,62,0.25,62,40
TEP,32003,0.25,11,2,62,0.25,62,40
TEP,32003,0.25,12,2,62,0.25,62,40
TEP,32003,0.25,13,2,62,0.25,62,40
TEP,32003,0.25,14,2,62,0.25,62,40
TEP,32003,0.25,15,2,62,0.25,62,40
TEP,32003,0.25,16,2,62,0.25,62,40
TEP,32003,0.25,17,2,62,0.25,62,40
TEP,32003,0.25,18,2,62,0.25,62,40
TEP,32003,0.25,19,2,62,0.25,62,40
TEP,32003,0.25,20,2,62,0.25,62,40
TEP,32003,0.1,0,5,25,0.10080645161290322,25,20
TEP,32003,0.1,1,1,25,0.10080645161290322,25,20
TEP,32003,0.1,2,1,25,0.10080645161290322,25,20
TEP,32003,0.1,3,1,25,0.10080645161290322,25,20
TEP,32003,0.1,4,1,25,0.10080645161290322,25,20
TEP,32003,0.1,5,1,25,0.10080645161290322,25,20
TEP,32003,0.1,6,1,25,0.10080645161290322,25,20
TEP,32003,0.1,7,1,25,0.10080645161290322,25,20
TEP,32003,0.1,8,1,25,0.10080645161290322,25,20
TEP,32003,0.1,9,1,25,0.10080645161290322,25,20
TEP,32003,0.1,10,1,25,0.10080645161290322,25,20
TEP,32003,0.1,11,1,25,0.10080645161290322,25,20
TEP,32003,0.1,12,1,25,0.10080645161290322,25,20
TEP,32003,0.1,13,1,25,0.10080645161290322,25,20
TEP,32003,0.1,14,1,25,0.10080645161290322,25,20
TEP,32003,0.1,15,1,25,0.10080645161290322,25,20
TEP,32003,0.1,16,1,25,0.10080645161290322,25,20
TEP,32003,0.1,17,1,25,0.10080645161290322,25,20
TEP,32003,0.1,18,1,25,0.10080645161290322,25,20
TEP,32003,0.1,19,1,25,0.10080645161290322,25,20
TEP,32003,0.1,20,1,25,0.10080645161290322,25,20
