dataset,outer_id,fraction,group_id,source_unit_count
3W,31002,1.0,WELL-00034,6
3W,31002,1.0,WELL-00035,6
3W,31002,1.0,WELL-00036,3
3W,31002,1.0,WELL-00037,4
3W,31002,1.0,WELL-00039,2
3W,31002,1.0,WELL-00041,9
3W,31002,0.25,WELL-00002,53
3W,31002,0.25,WELL-00005,20
3W,31002,0.25,WELL-00007,1
3W,31002,0.25,WELL-00008,14
3W,31002,0.25,WELL-00011,3
3W,31002,0.25,WELL-00014,3
3W,31002,0.25,WELL-00019,1
3W,31002,0.25,WELL-00031,1
3W,31002,0.25,WELL-00033,1
3W,31002,0.25,WELL-00034,1
3W,31002,0.25,WELL-00035,1
3W,31002,0.25,WELL-00037,2
3W,31002,0.25,WELL-00041,2
3W,31002,0.1,WELL-00002,18
3W,31002,0.1,WELL-00005,9
3W,31002,0.1,WELL-00008,7
3W,31002,0.1,WELL-00011,2
3W,31002,0.1,WELL-00014,2
3W,31002,0.1,WELL-00019,1
3W,31002,0.1,WELL-00031,1
3W,31002,0.1,WELL-00041,1
3W,31003,1.0,WELL-00001,93
3W,31003,1.0,WELL-00002,210
3W,31003,1.0,WELL-00003,29
3W,31003,1.0,WELL-00005,81
3W,31003,1.0,WELL-00006,113
3W,31003,1.0,WELL-00007,2
3W,31003,1.0,WELL-00011,13
3W,31003,1.0,WELL-00015,1
3W,31003,1.0,WELL-00025,1
3W,31003,1.0,WELL-00029,1
3W,31003,1.0,WELL-00031,1
3W,31003,1.0,WELL-00032,1
3W,31003,1.0,WELL-00033,6
3W,31003,1.0,WELL-00034,6
3W,31003,1.0,WELL-00035,6
3W,31003,1.0,WELL-00037,4
3W,31003,1.0,WELL-00038,2
3W,31003,1.0,WELL-00039,2
3W,31003,1.0,WELL-00040,1
3W,31003,1.0,WELL-00041,9
3W,31003,0.25,WELL-00001,24
3W,31003,0.25,WELL-00002,55
3W,31003,0.25,WELL-00003,8
3W,31003,0.25,WELL-00005,20
3W,31003,0.25,WELL-00006,25
3W,31003,0.25,WELL-00007,1
3W,31003,0.25,WELL-00011,2
3W,31003,0.25,WELL-00029,1
3W,31003,0.25,WELL-00031,1
3W,31003,0.25,WELL-00035,3
3W,31003,0.25,WELL-00037,2
3W,31003,0.25,WELL-00039,1
3W,31003,0.25,WELL-00040,1
3W,31003,0.25,WELL-00041,2
3W,31003,0.1,WELL-00001,11
3W,31003,0.1,WELL-00002,19
3W,31003,0.1,WELL-00003,3
3W,31003,0.1,WELL-00005,8
3W,31003,0.1,WELL-00006,11
3W,31003,0.1,WELL-00011,1
3W,31003,0.1,WELL-00029,1
3W,31003,0.1,WELL-00031,1
3W,31003,0.1,WELL-00037,1
3W,31003,0.1,WELL-00040,1
3W,31003,0.1,WELL-00041,1
TEP,32001,1.0,testing:fault_01,2
TEP,32001,1.0,testing:fault_03,2
TEP,32001,1.0,testing:fault_04,2
TEP,32001,1.0,testing:fault_05,1
TEP,32001,1.0,testing:fault_09,2
TEP,32001,1.0,testing:fault_10,1
TEP,32001,1.0,testing:fault_11,2
TEP,32001,1.0,testing:fault_12,1
TEP,32001,1.0,testing:fault_13,1
TEP,32001,1.0,testing:fault_14,1
TEP,32001,1.0,testing:fault_15,1
TEP,32001,1.0,testing:fault_16,1
TEP,32001,1.0,testing:fault_17,1
TEP,32001,1.0,testing:fault_18,2
TEP,32001,1.0,testing:fault_19,2
TEP,32001,1.0,testing:fault_20,1
TEP,32001,1.0,testing:normal,27
TEP,32001,1.0,training:fault_01,4
TEP,32001,1.0,training:fault_02,6
TEP,32001,1.0,training:fault_03,4
TEP,32001,1.0,training:fault_04,4
TEP,32001,1.0,training:fault_05,5
TEP,32001,1.0,training:fault_06,6
TEP,32001,1.0,training:fault_07,6
TEP,32001,1.0,training:fault_08,6
TEP,32001,1.0,training:fault_09,4
TEP,32001,1.0,training:fault_10,5
TEP,32001,1.0,training:fault_11,4
TEP,32001,1.0,training:fault_12,5
TEP,32001,1.0,training:fault_13,5
TEP,32001,1.0,training:fault_14,5
TEP,32001,1.0,training:fault_15,5
TEP,32001,1.0,training:fault_16,5
TEP,32001,1.0,training:fault_17,5
TEP,32001,1.0,training:fault_18,4
TEP,32001,1.0,training:fault_19,4
TEP,32001,1.0,training:fault_20,5
TEP,32001,1.0,training:normal,101
TEP,32001,0.25,testing:fault_01,1
TEP,32001,0.25,testing:fault_04,1
TEP,32001,0.25,testing:fault_09,2
TEP,32001,0.25,testing:fault_11,1
TEP,32001,0.25,testing:fault_17,1
TEP,32001,0.25,testing:fault_18,1
TEP,32001,0.25,testing:fault_19,2
TEP,32001,0.25,testing:normal,4
TEP,32001,0.25,training:fault_01,1
TEP,32001,0.25,training:fault_02,2
TEP,32001,0.25,training:fault_03,2
TEP,32001,0.25,training:fault_04,1
TEP,32001,0.25,training:fault_05,2
TEP,32001,0.25,training:fault_06,2
TEP,32001,0.25,training:fault_07,2
TEP,32001,0.25,training:fault_08,2
TEP,32001,0.25,training:fault_10,2
TEP,32001,0.25,training:fault_11,1
TEP,32001,0.25,training:fault_12,2
TEP,32001,0.25,training:fault_13,2
TEP,32001,0.25,training:fault_14,2
TEP,32001,0.25,training:fault_15,2
TEP,32001,0.25,training:fault_16,2
TEP,32001,0.25,training:fault_17,1
TEP,32001,0.25,training:fault_18,1
TEP,32001,0.25,training:fault_20,2
TEP,32001,0.25,training:normal,18
TEP,32001,0.1,testing:fault_04,1
TEP,32001,0.1,testing:fault_09,1
TEP,32001,0.1,testing:fault_11,1
TEP,32001,0.1,testing:fault_17,1
TEP,32001,0.1,testing:fault_18,1
TEP,32001,0.1,testing:fault_19,1
TEP,32001,0.1,testing:normal,1
TEP,32001,0.1,training:fault_01,1
TEP,32001,0.1,training:fault_02,1
TEP,32001,0.1,training:fault_03,1
TEP,32001,0.1,training:fault_05,1
TEP,32001,0.1,training:fault_06,1
TEP,32001,0.1,training:fault_07,1
TEP,32001,0.1,training:fault_08,1
TEP,32001,0.1,training:fault_10,1
TEP,32001,0.1,training:fault_12,1
TEP,32001,0.1,training:fault_13,1
TEP,32001,0.1,training:fault_14,1
TEP,32001,0.1,training:fault_15,1
TEP,32001,0.1,training:fault_16,1
TEP,32001,0.1,training:fault_20,1
TEP,32001,0.1,training:normal,4
TEP,32002,1.0,testing:fault_01,1
TEP,32002,1.0,testing:fault_02,1
TEP,32002,1.0,testing:fault_03,1
TEP,32002,1.0,testing:fault_05,1
TEP,32002,1.0,testing:fault_06,2
TEP,32002,1.0,testing:fault_07,2
TEP,32002,1.0,testing:fault_08,2
TEP,32002,1.0,testing:fault_09,2
TEP,32002,1.0,testing:fault_11,1
TEP,32002,1.0,testing:fault_12,1
TEP,32002,1.0,testing:fault_13,2
TEP,32002,1.0,testing:fault_15,2
TEP,32002,1.0,testing:fault_16,2
TEP,32002,1.0,testing:fault_18,2
TEP,32002,1.0,testing:fault_19,2
TEP,32002,1.0,testing:fault_20,2
TEP,32002,1.0,testing:normal,22
TEP,32002,1.0,training:fault_01,5
TEP,32002,1.0,training:fault_02,5
TEP,32002,1.0,training:fault_03,5
TEP,32002,1.0,training:fault_04,6
TEP,32002,1.0,training:fault_05,5
TEP,32002,1.0,training:fault_06,4
TEP,32002,1.0,training:fault_07,4
TEP,32002,1.0,training:fault_08,4
TEP,32002,1.0,training:fault_09,4
TEP,32002,1.0,training:fault_10,6
TEP,32002,1.0,training:fault_11,5
TEP,32002,1.0,training:fault_12,5
TEP,32002,1.0,training:fault_13,4
TEP,32002,1.0,training:fault_14,6
TEP,32002,1.0,training:fault_15,4
TEP,32002,1.0,training:fault_16,4
TEP,32002,1.0,training:fault_17,6
TEP,32002,1.0,training:fault_18,4
TEP,32002,1.0,training:fault_19,4
TEP,32002,1.0,training:fault_20,4
TEP,32002,1.0,training:normal,106
TEP,32002,0.25,testing:fault_01,1
TEP,32002,0.25,testing:fault_05,1
TEP,32002,0.25,testing:fault_06,1
TEP,32002,0.25,testing:fault_07,1
TEP,32002,0.25,testing:fault_09,1
TEP,32002,0.25,testing:fault_13,2
TEP,32002,0.25,testing:fault_18,1
TEP,32002,0.25,testing:fault_20,1
TEP,32002,0.25,testing:normal,2
TEP,32002,0.25,training:fault_01,1
TEP,32002,0.25,training:fault_02,2
TEP,32002,0.25,training:fault_03,2
TEP,32002,0.25,training:fault_04,2
TEP,32002,0.25,training:fault_05,1
TEP,32002,0.25,training:fault_06,1
TEP,32002,0.25,training:fault_07,1
TEP,32002,0.25,training:fault_08,2
TEP,32002,0.25,training:fault_09,1
TEP,32002,0.25,training:fault_10,2
TEP,32002,0.25,training:fault_11,2
TEP,32002,0.25,training:fault_12,2
TEP,32002,0.25,training:fault_14,2
TEP,32002,0.25,training:fault_15,2
TEP,32002,0.25,training:fault_16,2
TEP,32002,0.25,training:fault_17,2
TEP,32002,0.25,training:fault_18,1
TEP,32002,0.25,training:fault_19,2
TEP,32002,0.25,training:fault_20,1
TEP,32002,0.25,training:normal,20
TEP,32002,0.1,testing:fault_06,1
TEP,32002,0.1,testing:fault_07,1
TEP,32002,0.1,testing:fault_09,1
TEP,32002,0.1,testing:fault_13,1
TEP,32002,0.1,testing:fault_18,1
TEP,32002,0.1,testing:fault_20,1
TEP,32002,0.1,training:fault_01,1
TEP,32002,0.1,training:fault_02,1
TEP,32002,0.1,training:fault_03,1
TEP,32002,0.1,training:fault_04,1
TEP,32002,0.1,training:fault_05,1
TEP,32002,0.1,training:fault_08,1
TEP,32002,0.1,training:fault_10,1
TEP,32002,0.1,training:fault_11,1
TEP,32002,0.1,training:fault_12,1
TEP,32002,0.1,training:fault_14,1
TEP,32002,0.1,training:fault_15,1
TEP,32002,0.1,training:fault_16,1
TEP,32002,0.1,training:fault_17,1
TEP,32002,0.1,training:fault_19,1
TEP,32002,0.1,training:normal,5
TEP,32003,1.0,testing:fault_01,2
TEP,32003,1.0,testing:fault_03,2
TEP,32003,1.0,testing:fault_05,2
TEP,32003,1.0,testing:fault_06,1
TEP,32003,1.0,testing:fault_07,1
TEP,32003,1.0,testing:fault_08,1
TEP,32003,1.0,testing:fault_09,1
TEP,32003,1.0,testing:fault_10,1
TEP,32003,1.0,testing:fault_11,1
TEP,32003,1.0,testing:fault_12,1
TEP,32003,1.0,testing:fault_13,2
TEP,32003,1.0,testing:fault_15,1
TEP,32003,1.0,testing:fault_16,1
TEP,32003,1.0,testing:fault_17,1
TEP,32003,1.0,testing:fault_18,2
TEP,32003,1.0,testing:fault_19,2
TEP,32003,1.0,testing:fault_20,1
TEP,32003,1.0,testing:normal,25
TEP,32003,1.0,training:fault_01,4
TEP,32003,1.0,training:fault_02,6
TEP,32003,1.0,training:fault_03,4
TEP,32003,1.0,training:fault_04,6
TEP,32003,1.0,training:fault_05,4
TEP,32003,1.0,training:fault_06,5
TEP,32003,1.0,training:fault_07,5
TEP,32003,1.0,training:fault_08,5
TEP,32003,1.0,training:fault_09,5
TEP,32003,1.0,training:fault_10,5
TEP,32003,1.0,training:fault_11,5
TEP,32003,1.0,training:fault_12,5
TEP,32003,1.0,training:fault_13,4
TEP,32003,1.0,training:fault_14,6
TEP,32003,1.0,training:fault_15,5
TEP,32003,1.0,training:fault_16,5
TEP,32003,1.0,training:fault_17,5
TEP,32003,1.0,training:fault_18,4
TEP,32003,1.0,training:fault_19,4
TEP,32003,1.0,training:fault_20,5
TEP,32003,1.0,training:normal,103
TEP,32003,0.25,testing:fault_03,1
TEP,32003,0.25,testing:fault_05,1
TEP,32003,0.25,testing:fault_08,1
TEP,32003,0.25,testing:fault_09,1
TEP,32003,0.25,testing:fault_13,1
TEP,32003,0.25,testing:fault_18,1
TEP,32003,0.25,testing:fault_20,1
TEP,32003,0.25,testing:normal,3
TEP,32003,0.25,training:fault_01,2
TEP,32003,0.25,training:fault_02,2
TEP,32003,0.25,training:fault_03,1
TEP,32003,0.25,training:fault_04,2
TEP,32003,0.25,training:fault_05,1
TEP,32003,0.25,training:fault_06,2
TEP,32003,0.25,training:fault_07,2
TEP,32003,0.25,training:fault_08,1
TEP,32003,0.25,training:fault_09,1
TEP,32003,0.25,training:fault_10,2
TEP,32003,0.25,training:fault_11,2
TEP,32003,0.25,training:fault_12,2
TEP,32003,0.25,training:fault_13,1
TEP,32003,0.25,training:fault_14,2
TEP,32003,0.25,training:fault_15,2
TEP,32003,0.25,training:fault_16,2
TEP,32003,0.25,training:fault_17,2
TEP,32003,0.25,training:fault_18,1
TEP,32003,0.25,training:fault_19,2
TEP,32003,0.25,training:fault_20,1
TEP,32003,0.25,training:normal,19
TEP,32003,0.1,testing:fault_05,1
TEP,32003,0.1,testing:fault_18,1
TEP,32003,0.1,testing:fault_20,1
TEP,32003,0.1,testing:normal,2
TEP,32003,0.1,training:fault_01,1
TEP,32003,0.1,training:fault_02,1
TEP,32003,0.1,training:fault_03,1
TEP,32003,0.1,training:fault_04,1
TEP,32003,0.1,training:fault_06,1
TEP,32003,0.1,training:fault_07,1
TEP,32003,0.1,training:fault_08,1
TEP,32003,0.1,training:fault_09,1
TEP,32003,0.1,training:fault_10,1
TEP,32003,0.1,training:fault_11,1
TEP,32003,0.1,training:fault_12,1
TEP,32003,0.1,training:fault_13,1
TEP,32003,0.1,training:fault_14,1
TEP,32003,0.1,training:fault_15,1
TEP,32003,0.1,training:fault_16,1
TEP,32003,0.1,training:fault_17,1
TEP,32003,0.1,training:fault_19,1
TEP,32003,0.1,training:normal,3
